name,length,type
Atlanta Motor Speedway,1.54,intermediate
Auto Club Speedway,2.0,superspeedway
Bristol Motor Speedway,0.533,short
Canadian Tire Motorsport Park,2.459,road
Charlotte Motor Speedway,2.28,intermediate
Charlotte Motor Speedway Road Course,2.28,road
Chicagoland Speedway,1.5,intermediate
Darlington Raceway,1.366,short-intermediate
Daytona International Speedway,2.5,restricted
Dover International Speedway,1.0,short-intermediate
Eldora Speedway,0.5,short
Homestead-Miami Speedway,1.5,intermediate
ISM Raceway,1.0,short-intermediate
Indianapolis Motor Speedway,2.5,superspeedway
Iowa Speedway,0.875,short
Kansas Speedway,1.5,intermediate
Kentucky Speedway,1.5,intermediate
Las Vegas Motor Speedway,1.5,intermediate
Martinsville Speedway,0.526,short
Michigan International Speedway,2.0,superspeedway
Mid-Ohio Sports Car Course,2.25,road
New Hampshire Motor Speedway,1.058,short-intermediate
Pocono Raceway,2.5,superspeedway
Richmond Raceway,0.75,short
Road America,4.048,road
Sonoma Raceway,0.75,road
Talladega Superspeedway,2.66,restricted
Texas Motor Speedway,1.5,intermediate
Watkins Glen International,2.45,road
World Wide Technology Raceway at Gateway,1.25,short-intermediate
